;;;RESTAURANTE ITALOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;07/11/2025;
;;;155634853-2-2016 DV 22;;;;;;;;;;;;;;;;;;;;;;;;;;;Página 1 de 1;
;;;;LOS PUEBLOS LOCAL # 10 B;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Analisis de Ventas de Productos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;Desde;01/09/2025;;;;;;;;;;;Días;;67;;;%Sugerido;;;12.16;%Anterior;;4.60
;;;;;;;;;;;;;Hasta;;;07/11/2025;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.27;;;
;  Tipo: Productos  Ordenado Por: Ventas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Código;;;;Descripción;;;Cantidad;;Prom/Med;;;;;;;Estim/Med;;;;;;Total Ventas;;;Total Costos;;Total Utilidad;;% Util.
;;;;;AGUA;;;;;;;Promed/Medida;;;;;;;Estimado/Medida;;;;;;;;;;;;
;ACOMP10;;;;;;Lunes;;;755.00;;83.89;;;16777.78;;;;94.09;;18817.59;;;;B/.32.60;;B/.0.00;;B/.32.60;;100.00
;ACOMP10;;;;;;Martes;;;700.00;;77.78;;;15555.56;;;;87.23;;17446.77;;;;B/.45.56;;B/.0.00;;B/.45.56;;100.00
;ACOMP10;;;;;;Miércoles;;;616.00;;68.44;;;13688.89;;;;76.77;;15353.16;;;;B/.46.68;;B/.0.00;;B/.46.68;;100.00
;ACOMP10;;;;;;Jueves;;;761.00;;84.56;;;16911.11;;;;94.84;;18967.14;;;;B/.58.01;;B/.0.00;;B/.58.01;;100.00
;ACOMP10;;;;;;Viernes;;;934.00;;103.78;;;20755.56;;;;116.39;;23278.98;;;;B/.40.82;;B/.0.00;;B/.40.82;;100.00
;ACOMP10;;;;;;Sábado;;;1009.00;;112.11;;;22422.22;;;;125.74;;25148.28;;;;B/.51.50;;B/.0.00;;B/.51.50;;100.00
;;;;;;;;;;5544.00;;;;;;;;;;;;;;B/.344.04;;;;;B/.344.04;;
;;;;;LENTEJAS;;;;;;;Promed/Medida;;;;;;;Estimado/Medida;;;;;;;;;;;;
;ACOMP11;;;;;;Domingo;;;292.00;;32.44;;;2595.56;;;;36.39;;2911.12;;;;B/.14.69;;B/.0.00;;B/.14.69;;100.00
;ACOMP11;;;;;;Lunes;;;424.00;;47.11;;;3768.89;;;;52.84;;4227.10;;;;B/.14.87;;B/.0.00;;B/.14.87;;100.00
;ACOMP11;;;;;;Martes;;;193.00;;21.44;;;1715.56;;;;24.05;;1924.13;;;;B/.8.31;;B/.0.00;;B/.8.31;;100.00
;ACOMP11;;;;;;Miércoles;;;327.00;;36.33;;;2906.67;;;;40.75;;3260.05;;;;B/.12.50;;B/.0.00;;B/.12.50;;100.00
;ACOMP11;;;;;;Jueves;;;306.00;;34.00;;;2720.00;;;;38.13;;3050.69;;;;B/.20.27;;B/.0.00;;B/.20.27;;100.00
;ACOMP11;;;;;;Viernes;;;504.00;;56.00;;;4480.00;;;;62.81;;5024.67;;;;B/.13.89;;B/.0.00;;B/.13.89;;100.00
;ACOMP11;;;;;;Sábado;;;506.00;;56.22;;;4497.78;;;;63.06;;5044.61;;;;B/.16.00;;B/.0.00;;B/.16.00;;100.00
